,subject_id,time_elapsed,gender,age,understood,total_bonus,comments,strategy
37,A3KF6O09H04SP7,1445293,male,38,yes,4.46,"That was pretty fun.  A few more rounds and think I could nail it every time, since I was starting to find the sweet spot.","It was different depending on the situation.  When I knew the exact proportion they had already seen, it was super simple.  I had to tinker to find the sweet spot for correcting their potential misinformation when there were multiple ratios they could have already seen."
38,A3L8LSM7V7KX3T,1417023,male,41,yes,2.72,No.,I tried to put myself into the student's shoes and figure out what what numbers would help me 
39,A3O0QZQ4V2IXT7,1563839,female,47,yes,0.5,This was a frustrating task.,"This was difficult. There really is no strategy. After failing several attempts it was clear the ""student"" might not be easily influenced. "
40,A3V57BKH58EUIY,1089878,female,38,yes,2.44,,putting the actual ratio of turtles as my suggestion
41,A3VEF4M5FIN7KH,1846421,male,38,yes,1.7,,I just based my turtle ratio sending on what info options were given to me.
42,A3VL1CBZ3BGQK7,1286028,male,58,yes,2.37,that washard,trying to show an accurate representation
43,A49HPQ9P5AHU4,1356890,male,46,yes,1.76,The student's first guess in most of the 2-round scenarios was never made visible. (It was in a minority of the cases.),I just kept trying to lead the students in the right direction by overemphasizing the ratios to offset what they had already seen
44,A49MD40UT6ABO,724603,female,25,yes,2.72,,I just did my best since I'm not very good at math.
45,A5WWHKD82I8UE,1029624,male,38,yes,3.25,,I was just randomly trying to throw out numbers that felt like they made sense. I wasn't quite getting lucky enough I suppose.
46,A748N8WFG2HR4,2186798,female,4,yes,0.1,,I tried to go with my gut feeling
47,ABX5OQLR6UNBC,1599906,female,49,yes,2.42,,"I tried to compensate for what the student saw or might have seen, and attempted to adjust their perception."
48,AEQ95NMC3VXQ5,1264802,female,66,yes,1.08,Thank you for the opportunity to participate,I tried experimenting with different ratios of turtle colors
49,AFRJKS3Z3H4CA,1172629,male,41,yes,2.18,None,I just tried to get them close to a good breakdown when all scenarios are considered. If they had seen unknown amounts of turtles earlier I tried to do an average of both possibilities to get closer to the truth
50,AIA7RZSAONU5M,1165693,female,37,yes,2.14,"No comments, thank you!",I tried to give the student an accurate ratio of orange to purple turtles.
51,AK1GE19RT3PK6,1184622,male,34,yes,2.0,none,"I just went with my intuition and what worked for me sometimes that got me the bonus, however it was a difficult task but I tried my best."
52,AM65LGXJBTJ0I,1554017,male,33,yes,5.14,"Give a bigger textbox to write our strategy. Other than that, it was great, thank you!","For situations where there would only be 1 trial or 2 trials with no feedback on what their 1st guess was, I focused on 1 of the possible scenarios only. For instance, if an island had 7 purple/3 orange then I would focus on the scenario where the student had seen 9 purple/1 orange. This is because the alternative scenario was 1 purple/9 orange and it was too far removed from reality to try to change the student's perception. So my strategy would be to correct the 9purple/1orange student by slightly underrepresting purple by showing 6 purple/4orange. This seemed to result in a 50% chance of the student geussing correctly (in the case where I got the 9 purple/1 orange student) and a 50% chance of getting nothing (in the case where I got the 1 purple/9 orange student). I'm guessing there are better strategies, but this seemed decent and I couldn't come up with anything better on the 1 trial/2trials with no feedback scenarios.  For the scenarios where there were 2 trials and I got to see their guess after the 1st trial, it was more straightforward. I would just correclty represent the composition of turtles on trial #1, then look at their guess to figure out which student I got and try to compensate in trial 2 accordingly."
53,AOIR8V07FYMH5,2712568,male,35,yes,5.46,"I sent 0 on one round because the ratio they had predicted was accurate, so I didn't want to show any more turtles, which didn't pay me a bonus even though it was correctly predicted.",I would make it a ratio that would match the end result.
54,APVJEN2541WFB,1383322,female,32,yes,2.52,"The only comment I would have is to maybe add a practice round at the start, though I understand this might mess with data so maybe not. ","I just tried to equal them out to get them as close as possible, my strategy obviously did not work out well it was tougher than I anticipated. "
55,AQMLJYUQCSG22,1780955,male,32,yes,0.76,Confusing instructions ,Tried to find a middle number 
56,AUZXHSWDT1PYQ,1377569,female,31,yes,3.05,N/A,I tried to show increments of the ratio of turtles
57,AVCOBHDVXZOZL,1243994,male,35,no,0.76,provide a better way to get a bonus thin this. or at least provbide some examples on what a round will go like if you get the max bonus or a lower bonus,none
58,AXAO7UJYYEFCO,744135,female,40,yes,2.44,hard!!,tried to show the amount of turtle by using the ratio to show how many there are
