,subject_id,time_elapsed,gender,age,understood,total_bonus,comments,strategy,n_attention_passed
39,A1XQOZV8LQDM22,2461255,male,46,yes,0.74,N/A,Calculation the known number by student and subtracting it from the remaining turtles,2
40,A20K99JZE0L8HU,1170058,male,26,yes,1.0,,dividing them,0
41,A22ZYDQ7VRH6EL,1182545,male,51,yes,0.7,,I tried to give the students as close to the actual ratio of turtles so that they could properly calculate the number of turtles,3
42,A26LOVXF4QZZCO,1720063,male,49,yes,3.9,,"after a few trials I just assumed that  they saw the sample that had the same majority as the whole island and tried to make the ratio come out based upon that. I knew we were screwed if I guessed wrong, but I didn't see any other way to be successful",3
43,A2871R3LEPWMMK,1344742,male,34,yes,1.94,This was tough to do with so many not specifying which group they were from so if the time frame was longer or there was a timer on the screen I would have felt less rushed to jump to conclusions.,I kept playing with ratios to see if I could teach the student because most of the time I wasn't told which group they were from in terms of whether they saw more orange or purple. So it was very challenging to come up with figures in a short time frame.,3
44,A28FDHF2PY98K1,1106120,male,33,yes,2.68,,I attempted to send turtles so as to approximate the average representation of turtles on the island without sending more than 6 total turtles (which would eliminate my bonus).,3
45,A2ATBS6XTIZE89,1818025,male,45,yes,5.33,"If the task had been with a real student and not an algorithm, then if the student had gotten close enough to the correct answer in the first trial I would've sent them no turtles in the second trial as the most efficient way to let them know that. Unfortunately, that just ended with me getting a message that I hadn't completed the section in this trial. The instructions did say that, but since I'd given an answer in the first part I thought that might count and tried it anyway. It didn't work.","When I had a student that had seen two groups but only had one chance, I chose the smallest number of turtles that could lead to a correct answer, if I was lucky and they applied it to the right group. If they had seen two groups I tried to give them answers that would correct each group, in the belief that there was one way of applying them that would give roughly the same answer from the two groups. I was worried about the time limit and never sat down to do the math on the larger group, where you needed to given them 20 some turtles, and I'm not sure how correct/efficient I was for that part.",3
46,A2BABL5AHUOYC7,1934887,male,36,yes,2.1,engaging survey,I followed the information provided at all time,2
47,A2BK9RMC0NOIH8,2412179,male,40,yes,2.0,,I showed the amount of turtles in ratio to the island,0
48,A2BRZKFG6WAVER,1434824,female,40,yes,2.3,,Tried to give the students the info I had,1
49,A2CF2BD4Q0ZDJN,1497933,male,59,yes,3.95,,If I didn't know which group or what their initial guess was I tried to just show the actual ratio of orange/purple.   If I know the sample they had seen was wrong I tried to counterbalance their sample with enough orange or purple to bias them back to the true ration.,3
50,A2CFI1X8OKYIL2,934658,female,40,yes,1.0,None,I used different combinations of colors to achieve a balanced outcome,0
51,A2DLYBXZNSSJ4S,1140700,male,27,yes,0.0,none,Observing students,1
52,A2E2I8IZJ0S9WY,2064062,female,64,yes,3.98,,"For the two-hint students, I tried to just show the correct ratio in the new samples; for students whose preview I knew, I made my hint additive; for the rest, I was clueless as to how to proceed.",2
53,A2EH7IQCDH2Q5D,1492591,female,31,yes,1.0,,try to give a direct answer with the numbers but toned down,3
54,A2EHH2ZFIRF1BF,1202949,male,63,yes,0.0,,"I sent turtles of the majority population only. If the student guessed low, I sent more of the same if I could.",0
55,A2EPBSY0VPI38S,1473354,female,52,yes,2.95,N/A,I gave student ratios ,0
56,A2FP41BSPG0Y4A,3782000,female,37,yes,1.56,none,I input numbers that can indicate the percentage of each color,0
57,A2G7N0X0PNX0EE,1181594,male,36,yes,2.6,"Your attention checks don't stand out as much as they should. You should use a color that draws the viewer's attention away from orange and purple, like red, which clearly identifies the pages as different from the rest.",Always tried to show the correct ratio regardless of the cost,2
58,A2GOYSTIL3LOV1,1131232,female,48,yes,1.21,No comments.,"The ratio of turtles I added was similar to the composition of turtles. If I got to see the first guess of a student, then I tried to add or subtract a certain color to steer them in the right direction.",3
59,A2H8PEGI28NKZD,1922719,female,33,yes,2.84,,calculate percentage,1
60,A2HDYGY87VFILV,1867069,female,37,yes,1.5,Very Interesting,N/A,0
61,A2HFVL6GHX9R9V,1170553,male,24,yes,0.62,"Interesting task, I was a little confused about the process, but I think I got the hang of it pretty quickly. I'm curious as to how well I did. Have a nice day.",I tried to use a good ration of blue to purple turtles to help them with their estimations,3
62,A2HHKBW8HQWI66,901454,male,50,yes,2.0,None I can think of.,I just sent the correct response each time. I figured it was the easiest way to get the student to understand the ratio.,1
63,A2HXUTHYA5C1E0,1251066,female,35,yes,0.97,,I tried to use a similar ratio as the situation i was given,0
64,A2JTSH1VPJQ8FR,1814727,male,28,yes,1.36,kind of difficult when student has 2 different choices,I try to go for the estimate amount,3
65,A2KW87ZD2ELYNG,1488186,male,42,yes,0.62,it was kinda fun.,tried to show them turtles in certain ratios and hope they learned.,3
66,A2NAKIXS3DVGAA,1263391,male,28,yes,5.54,No.,I tried to maximize my expected earnings.,3
67,A2NZAL7KHOR6VF,1228617,female,40,yes,0.0,,I tried to send mostly ratios,1
68,A2PIFMM4Q2I9ZS,744322,female,23,yes,1.72,,none,0
69,A2PUL3ZDXOW0VZ,1698498,male,59,yes,4.07,,"I couldn't tell if the students adding up the total number of each kind of turtle or would give more weight to the turtles that I was showing them, so I switched between the two suppositions.",3
70,A2R0I39QFFQKXH,1840108,female,65,yes,3.2,It was fun and interesting.,"Try to keep the overall number of selected turtles low, while leaning towards the right answers. It felt a lot harder to do when you didn't know which island the student had seen before. I didn't necessarily thinking using substanially larger numbers would make that big of a difference. As a matter of fact, I thought it might hurt more than it helped.",3
71,A2WNTI69VVVWMZ,1275705,male,26,yes,5.06,A practice round would be nice. Overall the study was interesting but very hard to determine the best strategy to influence the students to find the answer.,I just tried to show my students the actual ratio or change their perceptions if I knew what they saw already.,3
72,A2XQ3CFB5HT2ZQ,1051418,female,60,yes,1.22,use out of 100 I don't understand 7/10 and then correlate it to the number,no my math skills are low,3
73,A2Z43TA0WZ0EG0,1377262,female,32,yes,1.37,"None, thanks.",I tried to use percentages but I'm not very good at them.,3
74,A2ZSL0EDN3H4AT,2261317,female,39,yes,2.3,No,My strategy was staying somewhere in between the students' numbers,0
75,A31898LQJO7I3,1562845,male,29,yes,2.03,,I tried to show ratios taking into account what they might have seen to give them the impression that this ratio is nearest the right,3
76,A31USOVE4ZIOCE,3493243,male,22,yes,4.07,,Trying to match the ratio given for each scenario,3
77,A31XT6RPLN6359,1385222,female,44,yes,2.28,I think your attention checks are easily missed and I may have missed them.,Tried to give 3 out of 10 type clue,1
78,A34EHWOYRBL6OZ,1166449,female,34,yes,1.01,,I tried to show a visual representation of how many turtles there were,2
79,A35DXVH9TPYZUE,3377312,female,45,yes,3.27,,read well,0
80,A36GU3OHGLDS8R,1138402,male,31,yes,2.03,n/a,I tried to share the ratio at a number of 10.,3
81,A36QBKROJ4J9EJ,1127925,male,51,yes,0.0,,I tried to un-skew the perceptions that the student might have from their walk on the island.,2
82,A37GOI3N77WX21,1930551,male,31,yes,5.05,No issues. Great experiment!,I tried to even out the numbersa so that the ratios would add up closely enough.,1
83,A37OUZOGQKGMW0,3182182,female,71,yes,0.96,no,"When showing the number of turtles, I tried to keep the proportions the same as what I was told.",0
84,A38DHLB88V8DL8,1287746,female,47,yes,1.5,none,I just tried to lead them to who had the most,1
85,A38I0E8UK53ME5,1448324,female,35,yes,0.6,,I tried to show the student more of the turtle that was more abundant and less of the turtle that was not as abundant.,2
86,A39C1BN9ZSQ0R2,1014842,male,36,yes,1.96,Well done.,I tried to communicate a ratio that would persuade the student towards the correct number without showing them too many turtles.,3
87,A3A8P4UR9A0DWQ,1158107,female,46,yes,1.11,none,Tried to average the numbers of each color I would show,0
88,A3AZJGI9D7C0PD,1487418,female,42,yes,1.0,Thank you!,to correct my student's  initial assumption about the number of turtles on the island ,0
89,A3CH1Z6J9R38G9,1538659,male,33,yes,3.62,,I tried to counter what the student saw to fit the island,3
90,A3FJCLBK3HF4PD,1403015,male,33,yes,1.1,,I took into account how close I had gotten and adjusted,2
91,A3G3G7SCD88G1J,1266757,female,40,yes,2.52,"If we only have a certain amount of time to send the lesson, it would be nice to have a timer, I feel like I would have done better if I wasnt so rushed",Trying to multiply the amount seen (when I knew what they saw) so they could figure out it was 70/30 or 30/70,3
92,A3GWRDHAURRNK6,1533796,male,49,yes,3.0,"During a two lesson task, when a student guessed correctly after the first lesson I did not send any more turtles because they already had the correct answer. I was then alerted that I lost my bonus that round because I failed to send any turtles. I think we should be allowed to send 0 turtles if the guess was already correct.","If one lesson, I showed the correct composition out of 20; if two lessons, then I first showed them 5 and 5 so they'd see it wasn't one of the extremes, and then showed them a 3 and 7 (one way or the other).",3
93,A3HNEYFOIJWPH1,1231633,male,38,yes,0.69,"Attention checks should stand out more and not be black, because they are VERY easy to miss.",Just tried to guess which would influence them the most in the direction I wanted.,3
94,A3HX18G4XV5PK,1350727,female,37,yes,3.05,,I just sent the actual ratio if I had no informatioon what they had seen so far,2
95,A3IMB1JAMHP1KK,864577,male,38,yes,1.0,,I tried to stick with a lower ratio of turtles being sent,3
96,A3KH1OG87C8DCM,2049102,female,37,yes,3.63,A countdown timer would be helpful.,I didn't use a strategy. I just estimated as best as I could since I had so little feedback.,0
97,A3LVLZS8S41ZD7,1384390,female,50,yes,1.11,,"I tripled the amount of purple over orange (if there were 7 purple and 3 orange turtles).  I thought if I tripled the amount, the student would think there were 75 purple for 25 orange.  I thought it would be easy for them to see the pattern.",3
98,A3MD34XEB4H6JF,1567710,female,55,yes,1.0,"This was fun, thanks.",I tried to indicate ration and hope they caught on.,3
99,A3O7X46E3REM7I,1592437,male,35,yes,0.95,,,1
100,A3OV174HQJIJK8,1590546,male,48,yes,1.47,Thank you for letting me participate.,"I tried to keep things even and give the same ratio to students, multiplying by 2 or 3 on occassion",3
101,A3P9TM5PRYBH90,1944123,male,44,yes,1.9,"Enjoyable task, thank you. ",I tried show a representative number of turtles and when the student's guess was off I tried to overcorrect.,0
102,A3QJJR5Y3XE92N,1339726,male,41,yes,2.96,no,"For the one's where I didn't know the group, I just used multiples of the composition of the rabbits. For the few that it gave me a group, I saw what they had seen and if it was way off from the actual, I exaggerated the numbers in the direction that they should be going. For the 2 sessions, I just fine tuned a bit if I was given their first guess.",2
103,A3RQN5RZD1N2KP,1818806,female,49,yes,0.0,none,I tried to show them more of the larger number of colored turtles to try and give the right impressions.,1
104,A3RT3B73TLJBO1,2776994,male,24,yes,0.7,no.,I estimated lower than students.,0
105,A4HPPP6EKBBFM,504673,male,32,yes,1.6,Good,Nothing,0
106,A60NQZ1KE5U8T,1117588,male,52,yes,1.04,I wasn't sure why I got some students telling me the guess and others not,I just sent them some turtles of the highest color,2
107,A68J20100VW4W,795383,female,65,yes,1.58,,randomness mostly,0
108,A7SW6SVNJ5V6O,1094561,male,52,yes,1.82,,tried to give proportion out of 10,3
109,ABBP9JASL9AGK,1083271,female,31,yes,0.0,,If the student had seen previous information I tried to align their views to the correct amount.,3
110,ABS83QIWSMZ9,836842,male,32,yes,1.74,,"If they saw  either island, gave 6 to the majority and 1 to the minority. When they had seen the island I did 5 each to match the proportion.",3
111,ACFPXI6LMHSZU,952099,male,40,yes,2.68,I wish we could choose something to say instead of just sending turtles.  That's an unorthodox teaching method,I tried to show the students the ratio of the island,3
112,AD1WGUMVD6KED,1496325,female,40,yes,0.88,"Interesting task, thank you.","Tried to give the student an idea of the amount of orange or purple turtles, based on what was on the island.",2
113,AEWPAZBYA7XE,958498,male,43,yes,3.25,NA,"Where I was given feedback, I tried to adjust my numbers to overcome the students initial guess.",0
114,AI5RMOS8R652G,1615866,female,44,yes,2.84,,it took me a little but I just tried to think about it in terms of 20 turtles which would be an additional 5 each color no matter which was 3/10 or 7/10,1
115,AI9QOT5C5DN1P,1018111,male,37,yes,0.0,n/a,I tried to balance by 3-1 or 4-1 ratios to give the students the best chance.,0
116,AIPHJXQEDNW9L,1258122,male,33,yes,2.83,,I eventually just settled on sending out turtles by proportion. Hoping it'd work.,0
117,AKK6H2YXK4RF6,1085274,female,47,yes,0.5,this whole thing was pretty confusing,I didn't stick to one particular strategy especially as it didn't seem like my students understood much,2
118,AKLG79EPGKTDP,915033,female,26,yes,1.65,I have no additional comments to add at this time.,"I carefully considered what the student has already seen and adjusted my answers accordingly if the students already saw a set number of turtles, otherwise I based my decisions off of probability of which turtle colors were higher on each island.",3
119,AKON4ZPGX5DYQ,1076783,female,35,yes,1.18,n/a,I just tried to narrow each color of turtles down as much as I could.,2
120,AKX4H8RT7BL7H,2050645,male,38,yes,1.77,,"I was trying to consider what would happen if I increased the sample size, how little of each color turtle would I have to show the student for them to guess more accurately.",3
121,AL8KOIH1DJ7D9,1016936,male,36,yes,2.12,,"just intuition, really. my strategy changed over time the more i thought about it, but i don't know if it was a good one.",0
122,AMHUDJ44HF1ZH,495864,male,67,yes,0.0,none,I always did 7/2 or 2/7 ,0
123,AMTTB8JUWRRM7,785692,female,26,yes,0.5,,I tried to show them turtles in the ratio of the island,3
124,ANQ0RLFEZ17W0,1587089,female,31,yes,3.85,"Very unique and fun study, thank you!","I tried to show a proper depiction of the ratio of turtle colors. When the student was off some by their guess, I tried to adjust my depiction in favor of one color.",3
125,ANZKTE853UXSD,1165892,male,37,yes,2.92,,At first I just sent them the correct ratio then I started trying to correct the ratios they had already seen by sending a lot more turtles.,0
126,AOXM7IK32TST5,933608,male,35,yes,6.31,Thank you!,I hoped that the student would have seen the group that was closest to the actual ratio. That way I would only show them a small number of turtles and get a bigger bonus. Too lazy to do the math to figure out the ratios to send to get it right every time.,3
127,AP9WIQ4P78XLH,1253617,male,51,yes,1.7,,Try to duplicate the ration with as many turtles as I could calulate quickly.,3
128,APRHR60T52KR9,1769779,male,30,yes,2.13,none,proportion,1
129,APVZGZM1RA3AZ,1998222,female,63,yes,2.0,,tried to be consistent,2
130,AQJRTW6LJR9LW,1450854,male,34,yes,1.52,No comments,I tried to adjust the students perceived ratio by exaggerating the real ratios ,3
131,ARKZRVB9WN15M,1119680,male,32,no,0.0,"Maybe try to make the instructions a little bit better, and try to provide a few detailed examples of how the game works. it was fairly difficult","I tried my best to make sense of the instructions provided, but they were honestly a little difficult to manage.",3
132,ARL4T9U18Q3FS,1133695,male,40,yes,0.0,"Lets us know the amount of turtles I could allocate,  took me a round or two to figure out it was 70 and not sure how that number is what it is.",Align my values to that of the amount of turtles on the island,2
133,AROOCBM042SJD,2127510,female,37,yes,0.68,no,percentages,3
134,ARVXIBUCA8WDZ,795115,male,36,yes,0.0,Everything worked well.,To use as few turtles as possible to still give something close to the real percentage.,0
135,ATT8TOPRCRRHG,947755,female,26,yes,0.0,No comments. Thank you for allowing me to participate!,I tried to show them as little as possible so that my bonus was as big as possible. The bulk of each group i showed my students was the group with the higher amount of that color turtle there. I tried to show the amounts of them there without spending alot of money as efficiently as i could.,3
136,AU34T9OMHN4Z4,1783977,female,43,no,2.23,A practice session with simulated results would have been incredibly helpful.,I just tried to do a ratio of whatever was on the island.,3
137,AU849EHZNGV2Z,1136051,male,36,yes,2.1,No problems.,Show numbers that would give the student a better idea of the correct answer based on what they already saw combined with what I showed them.,3
138,AW0MG225VXWCN,1122897,male,35,yes,1.58,,I focused on trying to keep the ratio of turtles correct,3
139,AWDU600NXZ26L,1430157,female,35,yes,1.0,N/A,Tried to make the gap between the higher turtles and the lowest turtles the same.,2
140,AXO22N46CSNVT,2188584,male,35,yes,2.6,,"I tried to give an accurate representation of the island's turtles, in spite of what they'd already seen since what they'd already seen averaged out to 50/50 orange and purple already.",2
141,AYW62R027PUT1,1299853,male,47,yes,4.17,,I tried to nudge the student in the right direction without being inefficient.,0
142,AZ69TBTDH7AZS,2005359,male,29,yes,0.0,,give percentage and variable percentage to give better average,3
