,subject_id,time_elapsed,gender,age,understood,total_bonus,comments,strategy,n_attention_passed
43,AERUGBNS48Z4N,1126014,male,34,yes,4.0,,I tried to think of the distribution and factor in the lessons from the teacher.,2
44,AGUKOC5210YWQ,1002210,male,40,yes,2.6,excellent,Knowledge,2
45,AH7Z2M3KSQ4DW,1457494,female,35,yes,3.0,N/A,Look at the majority of turtles on the Island and compare that with the majority of turtles (more orange or more purple) that the teacher showed me.,2
46,AI4AO0O0WIJF7,491474,female,47,yes,3.4,,"I guessed as far as whether they knew what I already saw, and based what kind of island I thought it was on the numbers of orange vs purple turtles.",2
47,AJDXSXAWDDAEO,1197916,male,34,yes,3.0,no,I guessed the majority color if i was shown a majority of that color before guessing ,2
48,AKP66RIZ3LQVX,1434924,male,24,yes,3.0,,"I just looked at the ratio of the turtles I'd seen in total,  and went with the ratio I found there. So if I saw 12 purple and 6 orange, I went with the 7 purple: 3 orange ratio. As for choosing whether the teacher knew what I'd seen or not, if they showed me more of the color I hadn't seen, then I thought they knew what I had seen, thinking they wanted to make sure I saw a different variety. ",2
49,AKSJ3C5O3V9RB,488043,female,24,yes,5.0,,I tried to put together the information provided before the teacher provided information i.e. tried to combine the probabilities in order to get a more accurate estimate of the population distribution. ,0
50,ALYR5CI2SM2JC,612584,male,32,yes,4.9,No.,I went with my gut feeling.,2
51,AM65LGXJBTJ0I,733862,male,33,yes,5.0,"All was good, thank you!","I generally just picked the color that the teacher showed me the most. Also, if my teacher showed me x amount of 1 color and 0 of the other color, I used that as an indicator that they knew what I saw and they were trying to heavily influence my answer. So in these cases I was more likely to disregard what I saw and only rely on what the teacher showed me.",2
52,AMJAZPJBO936R,1748360,female,20,yes,2.7,I thought the survey was quick and easy to comprehend.,I compared what I saw to the teachers responds and then made a guess.,2
53,AMTTB8JUWRRM7,365381,female,26,yes,5.0,,I just went with my gut.,2
54,AOIR8V07FYMH5,869574,male,35,yes,3.8,,"If the total the teacher was telling me was closer to one or the other, I went with that most of the time.",2
55,AONSG5WOC3OX0,3050297,male,40,yes,3.5,interesting study,Simply logic with process of elimination with a touch of probability and intuition,2
56,ARYL3C6N9SVV1,978970,male,34,yes,5.3,,If I saw a majority of one color and the teacher showed me a majority of that same color then I chose accordingly.,2
57,ATTGD1M94GFR,1078849,female,37,yes,3.9,,none,2
58,ATU582WJWMEL2,773677,male,23,yes,3.5,Thanks.,"I generally assumed if the teacher showed me mostly one color after I already saw that color, they didn't know. I also thought when they showed me a mix of colors, I'd assume they didn't know if they reported more of the majority color I already knew about.",2
59,AU6X92Y30ALJY,769646,female,25,yes,5.6,,I sent my guesses mostly based on what the teacher sent me.,2
60,AZ8JL3QNIPY4U,488511,female,32,yes,3.9,,I tried not to send guesses to the teacher to much to try to maximize my bonus and just take my best guess.,2
